id,t0_balde_num,g_ng,date_marked,t0_notes,date_collected,shoot_bag_weight,shoot_plus_bag_weight,rhizome_bag_weight,rhizome_plus_bag_weight,rhizome_weight,shoot_weight,length,duration,sheath_length,shoot_width,blade_number_tx,gfc_weight,gfc_weight_plus_sample,epi_weight,total_liquid,site,collection_point,tx_notes,ref_legth,b1_full,b1_new,b1_old,b2_full,b2_new,b2_old,b3_full,b3_new,b3_old,b4_full,b4_new,b4_old,b5_full,b5_new,b5_old,b6_full,b6_new,b6_old,b7_full,b7_new,b7_old,b8_full,b8_new,b9_old,b9_full,b9_new,b9_old,b10_full,b10_new,b10_old,baby_1,baby_2,notes,extention,original_length_Remaining,rgr_perday
183,5,ng,7-June-25,,21-June-25,,,,,0,0,,14,9.4,0.4,4,,,0,,high,t2,,4,36,9.2,26.8,42.2,7.9,34.3,21.2,5.2,16,40.4,1.2,39.2,,,0,,,0,,,0,,,0,,,0,,,0,,,,23.5,120.3,0.1785714286
185,6,g,7-June-25,,21-June-25,,,,,0,0,,14,9.5,0.3,0,,,0,,high,t2,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,shoot too wrangled,0,0,0
192,6,ng,7-June-25,,21-June-25,,,,,0,0,,14,15.7,0.5,7,,,0,,high,t2,,6.6,18.4,0.2,18.2,52.6,0.7,51.9,61.4,25.1,36.3,38.1,24.8,13.3,49.8,,49.8,44,29.2,14.8,43.1,33.1,10,,,0,,,0,,,0,,,double shoot?,113.1,200.9,0.5145586897
206,10,g,7-June-25,,21-June-25,,,,,0,0,,14,,,6,,,0,,high,t2,,4,88.5,,88.5,96,24.5,71.5,33.4,,33.4,51.5,11.2,40.3,82.5,20,62.5,34,12,22,,,0,,,0,,,0,,,0,,,*,67.7,322.2,#DIV/0!
207,5,g,7-June-25,,21-June-25,,,,,0,0,,14,,,0,,,0,,high,t2,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,no  shoot,0,0,#DIV/0!
242,6,ng,7-June-25,,21-June-25,,,,,0,0,,14,22.1,0.4,6,,,0,,high,t2,,3.4,60.7,,60.7,69.8,,69.8,88.6,0.6,88,48.8,6.7,42.1,83.1,2.4,80.7,15.9,8.4,7.5,,,0,,,0,,,0,,,0,,,,18.1,352.2,0.05850032321
247,6,ng,7-June-25,,21-June-25,,,,,0,0,,14,,,0,,,0,,high,t2,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,no shoot,0,0,#DIV/0!
261,7,ng,7-June-25,,21-June-25,,,,,0,0,,14,14.1,0.4,7,,,0,,high,t2,,4.4,26.7,,26.7,48.6,0.2,48.4,57.6,1.2,56.4,73.5,7.9,65.6,41.7,21.9,19.8,40.6,21.3,19.3,,,0,,,0,,,0,,,0,,3.8,,56.3,240.6,0.2852077001
277,6,ng,7-June-25,,21-June-25,,,,,0,0,,14,,,0,,,0,,high,t2,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,dead,0,0,#DIV/0!
288,7,g,7-June-25,,21-June-25,,,,,0,0,,14,29.6,0.5,4,,,0,,high,t2,,10.3,37.1,0.6,36.5,54,,54,58.9,7.1,51.8,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,10.1,,17.8,152.6,0.04295366795
290,5,ng,7-June-25,,21-June-25,,,,,0,0,,14,,,0,,,0,,high,t2,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,no shoot,0,0,#DIV/0!
301,5,ng,7-June-25,,21-June-25,,,,,0,0,,14,,,0,,,0,,high,t2,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,mangled,0,0,#DIV/0!
332,8,ng,7-June-25,,21-June-25,,,,,0,0,,14,,,0,,,0,,high,t2,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,just root,0,0,#DIV/0!
343,,,7-June-25,,21-June-25,,,,,0,0,,14,26,0.5,5,,,0,,high,t2,,8.9,66,4.1,61.9,50.6,11.3,39.3,57.7,7.3,50.4,48.3,0.6,47.7,20.6,0.3,20.3,,,0,,,0,,,0,,,0,,,0,,,,23.6,228.5,0.06483516484
352,5,ng,7-June-25,,21-June-25,,,,,0,0,,14,15.8,0.4,3,,,0,,high,t2,,3.4,54.6,2.5,52.1,66.5,,66.5,32.7,,32.7,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,2.5,154.7,0.01130198915
355,5,g,7-June-25,,21-June-25,,,,,0,0,,14,12.7,0.4,3,,,0,,high,t2,,2.5,54.6,11.1,43.5,49.5,13.8,35.7,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,12.1,,,37,81.7,0.2080989876
367,5,g,7-June-25,,21-June-25,,,,,0,0,,14,20.2,0.5,5,,,0,,high,t2,,4.6,51.4,,51.4,59.5,1.7,57.8,79.8,16.1,63.7,64.4,21.2,43.2,13.7,13,0.7,,,0,,,0,,,0,,,0,,,0,,,,52,221.4,0.1838755304
369,5,g,7-June-25,,21-June-25,,,,,0,0,,14,,,0,,,0,,high,t2,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,wrangled,0,0,#DIV/0!
375,7,ng,7-June-25,,21-June-25,,,,,0,0,,14,55.2,0.4,7,,,0,,high,t2,,3,8.2,0.4,7.8,7,3.2,3.8,37.2,0,37.2,56,2.5,53.5,55.2,7.8,47.4,56.4,9,47.4,32.6,0,32.6,,,0,,,0,,,0,,,,22.9,232.7,0.02963250518
393,7,g,7-June-25,,21-June-25,,,,,0,0,,14,26,0.5,5,,,0,,high,t2,,8.9,66,4.1,61.9,50.6,11.3,39.3,57.7,7.3,50.4,48.3,0.6,47.7,20.6,0.3,20.3,,,0,,,0,,,0,,,0,,,0,,,,23.6,228.5,0.06483516484
84,5,ng,7-June-25,,13-June-25,,,,,0,0,,6,16,0.5,8,,,0,,low,t1,,0.2,25.4,0,25.4,55.5,0,55.5,22.2,0,22.2,25,0,25,28.5,0.1,28.4,19,0.3,18.7,5.8,0,5.8,24.5,0.3,24.2,,,0,,,0,,,,0.7,205.4,0.007291666667
93,5,g,7-June-25,,13-June-25,,,,,0,0,,6,,,7,,,0,,low,t1,,4.6,50.1,0,50.1,73.8,0,73.8,22.9,0,22.9,48.3,4.8,43.5,66,2.3,63.7,52.9,4.1,48.8,18.2,3.7,14.5,,,0,,,0,,,0,,,,14.9,321.9,#DIV/0!
97,5,ng,7-June-25,,13-June-25,,,,,0,0,,6,,,6,,,0,,low,t1,,4.6,5.8,0,5.8,42.6,0,42.6,54.8,0,54.8,28.2,0.6,27.6,27.2,0,27.2,,,0,,,0,,,0,,,0,,,0,10.4,,,11,162.6,#DIV/0!
102,4,g,7-June-25,,13-June-25,,,,,0,0,,6,9.7,0.4,3,,,0,,low,t1,,2.9,26.9,0,26.9,52.1,3.4,48.7,7.4,3.4,4,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,6.8,82.5,0.116838488
142,5,ng,7-June-25,,13-June-25,,,,,0,0,,6,14.8,,4,,,0,,low,t1,,5,26.4,,26.4,33.8,7.1,26.7,55.7,5.7,50,50.6,,50.6,,,0,,,0,,,0,,,0,,,0,,,0,,,,12.8,158.7,0.1441441441
158,7,g,7-June-25,,13-June-25,,,,,0,0,,6,19,0.5,8,,,0,,low,t1,,6.4,46.6,0,46.6,54.1,0,54.1,43.9,6.4,37.5,41.2,0,41.2,39.8,6.7,33.1,38,0,38,17,7.2,9.8,54.1,13.4,40.7,,,0,,,0,,,,33.7,307.4,0.2956140351
169,5,g,7-June-25,,13-June-25,,,,,0,0,,6,,,0,,,0,,low,t1,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,no shoot,0,0,#DIV/0!
191,7,ng,7-June-25,,13-June-25,10.136,,4.631,4.808,0.177,-10.136,52,6,19.4,0.3,8,0.491,0.492,0.001,150,low,t1,,5.2,21.2,0,21.2,20,6,14,46.2,0,46.2,4.8,0,4.8,29.4,9.2,20.2,32.4,6.8,25.6,34.8,10.2,24.6,,,0,,,0,,,0,1,,,33.2,161.8,0.2852233677
225,7,g,7-June-25,,13-June-25,,,,,0,0,,6,29,0.4,6,,,0,,low,t1,,6.3,122.5,0.2,122.3,57,0,57,31.2,0,31.2,21.2,6.6,14.6,80,8.8,71.2,102.3,7.9,94.4,,,0,,,0,,,0,,,0,,,,23.5,397,0.1350574713
244,5,ng,7-June-25,,13-June-25,,,,,0,0,,6,9.2,0.4,6,,,0,,low,t1,,2.6,34.4,2.1,32.3,47.4,0,47.4,62.7,3.4,59.3,36.5,8.3,28.2,27.3,12.6,14.7,39.3,2.2,37.1,,,0,,,0,,,0,,,0,,,,28.6,221.6,0.518115942
